正解,positive
看视频有感，p1那个视频，复盘的时候才注意到这么多细节[淡淡的],positive
还得是檀健次！这是内娱追星天花板的享受，业务能力抗打吃得好不用挽尊，每次出席活动都有高情商发言，即便工作再累也每次保持特别赞的状态和颜值[爱你],positive
我看小🍠上好多萌萌檀丝还去人家评论下头解释，结果人家直接删评[微笑][微笑][微笑][微笑]就等着这个机会虐粉呢,positive
这么体面还是被大女主丝扫射没一个男的靠得住[吃瓜][吃瓜][吃瓜][摊手][摊手][摊手][摊手],positive
为了不抢风头他一直都是把话筒往外递，主持人的话一个两个不接他都回答了，场面还要特主带，又怕特主抢风头，就仗着我担同理心高照顾他人不愿冷场吧。,positive
幕墙批永不认输。直播视频摆在这，谁想偷偷颠倒黑白就打谁的脸,positive
可是女煮丝只会把檀的话硬截掉虐粉,negative
檀老师高情商体面人，但是天天被倒打一耙，会寒了剧粉的心啊[悲伤],positive
拒绝泼脏水共沉沦 我哥一直都是体面人[微笑],negative
从头到尾，檀健次都很体面、幽默、高情商,positive
昨天看的时候就发现了，在我檀的体面之下，那几个被显得格外木了我真服了，可这是我檀的错吗？他只是说了他该说的，做了他该做的而已,negative
我哥一直都是体面人呀 但就是太体面了总让别家破防～,negative
言之有物情商高，爱檀健次就对了[打call],positive
我们健次可是微博之夜情商局都能完美过关的高情商[微笑],positive
我宝任何场合，对同事，对朋友，对合作伙伴都是体面人,positive
说的好，能冲破抹嘿洗脑包爱相柳，能从相柳或者其他角色认识檀健次，通过考古深入了解他有多好多强后入坑的都是有思想、 分辨能力、正常三观和高审美的人，慕强、向往美好和正能量是人之常情，不用逼迫、洗脑、勉强和欺骗自己，也是够爱自己的体现，爱对了人什么都对，爱檀即爱己[嘻嘻],positive
只有檀哥想要扛立牌，其他三个人一动不动[doge],negative
真的是，主持人问的问题，只有咱宝贝说在点儿上，且一直活跃气氛[心],positive
我檀哥为人真诚~做事大方~体面人[耶],positive
写的太好了[good][good] 能从相柳粉上檀健次的就是有眼光[可爱][可爱] @MIC檀健次JC-T ,positive
火象星座，喜不喜欢都超级明显[哈哈],negative
别骂了 努力在忍了 [二哈]又不是演员 怎么可能没有痕迹,positive
没有不喜欢你，就是有点烦你,negative
我没有不喜欢你，我只是.....算了，我讨厌你[太开心],negative
是的[喵喵] http://t.cn/A6Qi1RFV,negative
哈哈哈哈喜欢的话自己看来蛮明显的 别人可能根本感觉不到 不喜欢那真是超级明显,positive
问：你喜欢他/她的证据 土象三憋：看了他/她的朋友圈 [微笑],positive
不管男女只要不喜欢一句话都不想说，面无表情😐,negative
比如呢？超级明显举个例？[微笑],negative
金牛，年轻时总是[允悲]生怕我讨厌的人会误会我不讨厌TA们,positive
没错 不喜欢就是不喜欢 第一眼不喜欢就是一辈子不喜欢[吃瓜],positive
处女不喜欢真的会嘴巴很毒,negative
不准说出来！,negative
不喜欢全写脸上,negative
认识的用人朝前不用人朝后的金牛，那嘴脸，用你时表现的温柔可人乖巧，用不着你了，嫌的哟，好像在看垃圾,positive
没有错,positive
开玩笑，不喜欢的我都看不见,negative
哈哈哈就差写在脸上了……爱憎分明。,negative
不喜欢的直接拒绝 一点苗头不给留,negative
重点班（奥赛班）很正常啊[二哈],positive
把十碗面里的牛肉挑到一碗面里.然后根食客说我家🍜都是这样[允悲],negative
全部挑出来的能不高分咩[并不简单],positive
艺考608就很恐怖啊,positive
重点中学的重点班[doge],positive
据我所知，世界500强里都是世界500强，福布斯富豪榜里都是富豪[摊手][摊手],positive
没啥发的就别发了,negative
重点班啊 很正常 别称清北班 这有什么可宣扬的,positive
重点班，懂的,positive
清华北大[允悲]我当时的目标就是上大学就行,positive
湖北襄阳五中这次厉害了 全省文理第一全部来自一个学校,positive
重点班还好意思说[摊手]现在重点班就不合法吧,negative
[哆啦A梦害怕]主要是重点班也很牛的存在啊,positive
清北班吧，别以为我不知道,negative
举报热线在哪里，举报他开设重点班呢,negative
一点不值得推广，都是筛选后的,positive
咱三中🐮🍺大发了[努力],positive
重点班？,positive
这个学校其他班呢[doge],positive
真的很可爱啊,positive
赶紧来预约檀健次滤镜！入股不亏 http://t.cn/A6QJDF68,negative
今天的快乐跟悲伤都是檀健次给的[苦涩][苦涩],positive
哈哈哈🤣笑的我 最後預告那個女版健次也好好笑,negative
[允悲][允悲][允悲]滤镜竟是这样的画风,positive
这是今晚看到相柳结局后，心痛的解药[可爱],positive
真的很可爱,positive
哈哈哈哈哈唐奇真的很可爱[爱慕],positive
对这个剧情好奇死了[笑cry],positive
哈哈哈哈，好可爱！期待唐奇,positive
头发好飘逸[笑cry],positive
哈哈哈预告好有内容，题材看起来很新颖，好癫我好爱,positive
哈哈哈哈特别想看唐奇,positive
好想快点见到唐奇[憧憬][憧憬],negative
可可爱爱的檀健次,positive
哈哈哈哈哈哈哈哈哈哈  就是很可爱啊 期待我们檀健次唐奇啦[好运连连],positive
檀健次演技真的好棒,positive
可爱[舔屏],positive
笑死我了[笑cry][笑cry][笑cry],positive
哈哈，到时候一起癫,positive
"以前在互联网公司每天八九点下班，感觉过得行尸走肉的，每天就是在磨时间。换了现在的工作之后经常下午四点多就有人提醒我""你不是开车来的吗？那还不赶紧下班回家，再不走就堵车了""幸福指数直线提升，而且反而在公司的时间里效率变高了，回家陪陪娃做做饭，还能再有时间自己看看书。",positive
川姐就应该做大做强！,positive
神仙公司!!! 搞不懂为什么冬天五点半下班，夏天六点下班。夏天日照时间长应该早起干完一天的活再早点下班有点娱乐活动，而不是推迟我下班的时间还是啥都干不了[允悲][允悲],positive
这个时间真的特别棒！夏天日照时间长，所以早点起来还凉快，冬天多睡一点，5点下班也能干很多事情了！对于6点及以后下班且住的远的人来讲，稍微弄点饭就7点多了，吃完就八九点了，洗漱完10点，本来是应该睡觉的点，什么娱乐都没有的话，就自然而然会熬夜的。早点下班，有利睡眠,positive
我们之前是4.30下班，现在换了老板改成5点下班了，还取消了班车[伤心],negative
川姐，求招人[苦涩],negative
这个时间对我来说太合适了。早一点下班真的很幸福。下班吃完晚饭，去散步还能看到夕阳的感觉太好了。但是很少这样上班的公司，只能自己努力，看看以后自己做，就可以按自己的时间来上班了。,positive
我们不管夏天冬天，全都是6点下班。天天抱怨，一点幸福指数都没有[泪]。问题早上还8点上班。每天免费加班一小时[笑cry],positive
哇，真好,positive
不知道晚那半小时能干嘛[吃瓜]，会思考的人真的太少了,negative
真好啊,positive
看到四点半，我真的破防了[融化],negative
普遍是夏天午休长点下班迟点，免得太晒，冬天早点收工免得天太黑。不过都比六七点到家强。,negative
羡慕啊[泪]还招人么川姐[喵喵],positive
10-7上班，感觉一整天都耗在工作里[融化],positive
姐你公司哪个，可以投个简历么,negative
神仙公司！[憧憬][憧憬][憧憬],negative
首先把自己当个人，才能活得像个人。,positive
有意思,positive
之前看吴军老师的大学之路这本书也是陪着女儿在美国选大学。确实要亲身体验才能感受不一样。,positive
不光硬件，软件也是无法相比,positive
UVA可以去看看，开国三杰之一的Thomas Jefferson卖了600个黑奴耗尽家产创建的，校园列入了联合国世界文化遗产名录。,positive
人确实要多走走，谢谢您带我们云逛[鮮花][心],positive
大二那年寒假去了加州的大学，感慨太多了。,positive
我家一个常青藤一个top文理学院，都是收获满满，值得[可爱],positive
绿化很好，建筑也很有特色,positive
给人一种很自由自在的感觉,positive
多看看世界，人的认知就会产生变化,positive
乐姐是南大学什么专业的？好奇[哈哈],positive
这是Sofia在2016年去剑桥大学访学的时候发给我的，今天看真是感慨 http://t.cn/A6QJsgAj,positive
在姐姐的评论中留下一个梦想，希望有一天能去美国读博[太开心],positive
美国文理学院是宝藏大学，我家孩子就读的前十的文理学院，体验感非常好[嘻嘻],positive
去美国逛的最多的就是大学和博物馆,positive
美国大学是不错的，孩子们要么常青藤要么加州吧。,positive
你倒是说说为什么强大,positive
一代一代人的托举才能赋能未来发展[鼓掌][鼓掌][鼓掌],positive
太美了，无法想象在校园里生活的每一天，都像呆在画里一样美[哈哈],positive
从未超越也不可能给超越。,positive
尤其在波士顿 名校云集 那种感觉和加州公立大学完全不一样,positive
那年代学阀一造一个神，门槛才是普通人最大的障碍,positive
分享《玫瑰的故事》里片段[666] http://t.cn/A6QIO3GQ,positive
现在的女孩不是故事里那样了，但男孩还是[笑cry],positive
平台垄断，以前能出书的都是有门路的人，和现在门槛低了脑洞纷飞不一样。,positive
理解那个时代,positive
亦舒抢了闺蜜的老公，还把闺蜜跟老公的信件公布在媒体上，我一时半会儿想不起来闺蜜是谁了，好像是娱乐圈的。,positive
我甚至觉得亦舒比琼瑶更封建,positive
琼瑶的还是可以的~到现在很多设定还是很厉害。琼瑶的故事往往是抗争了，但是打不过。,positive
其实也不全是，琼瑶的故事虽然都是情情爱爱，但是他的故事里面人敢于冲破桎梏，相信人是平等的，有那个年代青年人的活力和激情。反观现在很多网络文学封建思想到很严重。榴莲子就是代表,positive
亦舒的阶级性属性更强，都是资产阶级大小姐作风。,positive
玫瑰的故事真透着一股过时的伪现代恋爱观。这个故事放在四十年前的香港还有点像那么回事，放在2024年的上海太失调。,positive
因为亦舒只是言情小说家，为了赚钱可以写很多本，质量无法苛求[允悲]优势是她的成长与香港繁华同步，见过太多灯红酒绿背后的龌龊，而且她很喜欢写女人与金钱、时装的关系，算是一绝。到现在，晋江那些写文的，还不如亦舒琼瑶等人。,positive
以前翻过一本琼瑶的书，女的不能生给老公找了和学生来生孩子，这是哪一本来着。看的我恶心死了。,positive
真的没有好剧本了[摊手]都想挣快钱、求稳，翻拍有粉丝基础的小说，请有流量的明星[单身狗],positive
我看亦舒看到的女主就觉得大部分特别自我甚至是自私，看似争男的，实际上全是自己的利益为上[笑cry],positive
琼瑶阿姨还听有些纯情。亦舒就是远兜回转靠男人吃男人那套,positive
琼瑶虽受时代所限，但反封建和追求自由恋爱在那个年代至少是一种进步。亦舒写文就是香港郭敬明，至于亦舒本人人品，是至亲之人都不愿来往的[doge],positive
说句实话，亦舒还不配和琼瑶相提并论。琼瑶当然有历史局限性，但是文学功底扎实，且描写感情细腻真诚，人物更丰满完整。亦舒是故作冷峻，始终和她塑造的人物隔着十万八千里的上帝视角，无法让人共情。法制进行时都比她有人味儿,positive
她们那时候受限于时代，但也算尝试突破，现在一些小说作者那个嫡嫡道道的封建味才是让人惊讶，这是21世纪诶……[笑cry],positive
琼瑶有几本我觉得还是非常有反封建意识的，虽然时代限制了她，亦舒的写来写去就是围着男人，抢到男人就是胜利女性[允悲],positive
这个声线好有磁性,positive
期待白月光沈翊，越来越觉得这个剧情会相当好看,positive
期待檀健次沈翊[送花花][送花花][送花花][送花花][送花花][送花花][送花花][送花花][送花花][送花花][送花花][送花花][送花花],positive
啊 好帅 啊不 好期待猎罪2[抓狂],negative
期待小画家沈翊,positive
啊啊啊好期待小画家[哇],positive
啊啊啊啊！比第一部还要精彩！！难以想象刑侦迷得有多嗨[抓狂],negative
好好好，期待住了[开学季],positive
哇，更期待沈翊了，迫不及待想看，快点来吧 http://t.cn/A6QxsNKV,positive
真的好期待沈翊用画笔破解更多案件还原真相 http://t.cn/A6QJvzzO,positive
健次，一个人一个剧组孤独么，要不要召唤相柳九个头陪陪你,positive
真的狠狠期待了，猎罪你快来,positive
越说越期待～快点见面吧[送花花],positive
不知道说了什么只想亲嘴[舔屏],negative
我们猎罪看起来大事很妙[好运连连],positive
好！[色],negative
老天，摘下眼镜之后，更帅了，怼脸太好看了,negative
白月光沈翊来了，好期待猎罪图鉴二！ http://t.cn/A6QxsOM6,positive
猎罪图鉴2[色][色][色][色]我等你等得好苦啊[笑cry] 想见到有点黑的沈翊[doge],negative
超级期待第二季，现在就好想看[打call],positive
本来想写“姐姐们”，但还是直接“我们”了，我也是姐姐,positive
我妈找神婆算命 我的财路在西方 本来也想去南方的 先这么向西走吧 不知道会在哪里定下来 找到自己的房间,negative
祝我成功出走,positive
不知道未来会往哪里走 也不知道是否可以成功考上大学 也不知道接下来会发生什么[泪][泪][泪][泪],positive
祝我顺利找到自己在陌生城市的第一个小窝[悲伤],positive
这个周末出走在济南[笑cry],positive
周日回去一天就被叼了一天，周一赶紧飞奔回我的小窝了，心情直线up！[剑网3],negative
不要担心,positive
还有就是，中途等一等也没关系，休息也没关系，准备好再继续往前走就好了,negative
给自己一点时间,negative
希望我真的能做到[苦涩],positive
不害怕不害怕[泪],positive
慢一些，[鲜花]也没关系的,positive
说进我心里了,negative
勇往直前无所畏惧！,positive
好哦,positive
谢谢果子 最近真的焦头烂额[泪],positive
谢谢你姐姐🥹最近在考研择校 感觉自己站在人生的十字路口 不知道该怎么选择 感觉很迷茫 但是看到你的这段话被安慰到了呜呜,positive
毕业之后找到属于自己的小窝！,positive
我在手机里[努力],positive
陈纫香我不在[努力] 沈翊我不在[努力],positive
